,Ligand,Concentration,Animal,Cell,Predicted
170,hIL4,-9.757437219364547,Human,Monocyte,0.9106126803220485
171,hIL4,-9.732976930772576,Human,Monocyte,0.915094862854803
172,hIL4,-9.708516642180602,Human,Monocyte,0.9193723953966372
173,hIL4,-9.684056353588629,Human,Monocyte,0.9234526531045704
174,hIL4,-9.659596064996656,Human,Monocyte,0.927342943370725
175,hIL4,-9.635135776404681,Human,Monocyte,0.9310504834637774
176,hIL4,-9.61067548781271,Human,Monocyte,0.9345823809232465
177,hIL4,-9.586215199220735,Human,Monocyte,0.9379456165409479
178,hIL4,-9.561754910628762,Human,Monocyte,0.9411470297593567
179,hIL4,-9.53729462203679,Human,Monocyte,0.9441933063148951
180,hIL4,-9.512834333444815,Human,Monocyte,0.947090967954937
181,hIL4,-9.488374044852844,Human,Monocyte,0.9498463640584512
182,hIL4,-9.463913756260869,Human,Monocyte,0.9524656650016075
183,hIL4,-9.439453467668896,Human,Monocyte,0.9549548570992067
184,hIL4,-9.414993179076923,Human,Monocyte,0.9573197389813716
185,hIL4,-9.390532890484948,Human,Monocyte,0.9595659192538155
186,hIL4,-9.366072601892977,Human,Monocyte,0.9616988153076492
187,hIL4,-9.341612313301003,Human,Monocyte,0.9637236531501132
188,hIL4,-9.31715202470903,Human,Monocyte,0.9656454681364467
189,hIL4,-9.292691736117057,Human,Monocyte,0.9674691064915996
190,hIL4,-9.268231447525082,Human,Monocyte,0.9691992275188582
191,hIL4,-9.24377115893311,Human,Monocyte,0.9708403064006939
192,hIL4,-9.219310870341136,Human,Monocyte,0.9723966375050627
193,hIL4,-9.194850581749163,Human,Monocyte,0.973872338118133
194,hIL4,-9.17039029315719,Human,Monocyte,0.9752713525301341
195,hIL4,-9.145930004565217,Human,Monocyte,0.9765974564148786
196,hIL4,-9.121469715973245,Human,Monocyte,0.9778542614340541
197,hIL4,-9.09700942738127,Human,Monocyte,0.9790452200251448
198,hIL4,-9.072549138789299,Human,Monocyte,0.9801736303190917
